Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_wrapper_0_bram_addr_0[31:0],design_1_i/fft_module_0_bram_addr[31:0],design_1_i/design_1_wrapper_0_fft_last_0,design_1_i/design_1_wrapper_0_fft_last_1,design_1_i/design_1_wrapper_0_fft_out_0[63:0],design_1_i/design_1_wrapper_0_fft_out_1[63:0],design_1_i/design_1_wrapper_0_fft_valid_0,design_1_i/design_1_wrapper_0_fft_valid_1,design_1_i/design_1_wrapper_0_tdata_0[31:0],design_1_i/design_1_wrapper_0_tdata_1[31:0],design_1_i/design_1_wrapper_0_tdata_valid_0,design_1_i/design_1_wrapper_0_tdata_valid_1,design_1_i/adc_buffer_0_Q1[13:0],design_1_i/adc_buffer_0_Q2[13:0],design_1_i/design_1_wrapper_0_event_data_in_channel_halt_0,design_1_i/design_1_wrapper_0_event_frame_started_0,design_1_i/design_1_wrapper_0_event_tlast_missing_0,design_1_i/design_1_wrapper_0_event_tlast_unexpected_0
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
442,442,0,00000d58,00000d30,0,0,41cd5950411d3288,424f9f86423ced88,1,1,43670000,43680000,1,1,01a5,0130,0,0,0,0
443,443,0,00000d60,00000d38,0,0,c199626842a0e7cc,c294eca2c293fe57,1,1,43d28000,c24c0000,1,1,0158,00e0,0,0,0,0
444,444,0,00000d68,00000d40,0,0,c24ec142c258d7f8,42b49a42c266ef60,1,1,43ac0000,c3a78000,1,1,0038,3fc4,0,0,0,0
445,445,0,00000d70,00000d48,0,0,c1c25e70c25bae00,429a4981bf915580,1,1,42600000,c3ca0000,1,1,3f1b,3ea9,0,0,0,0
446,446,0,00000d78,00000d50,0,0,c23baf0cc125dce0,c18d5444c25451fc,1,1,c3650000,c34e0000,1,1,3ee0,3e6d,0,0,0,0
447,447,0,00000d80,00000d58,0,0,c20e5cd4415dda88,c28d09d941a67080,1,1,c3900000,42dc0000,1,1,3fb3,3f40,0,0,0,0
448,448,0,00000d88,00000d60,0,0,c215f566400aeb20,c0f67fd0c08b0ee0,1,1,c29a0000,43980000,1,1,00ee,007d,0,0,0,0
449,449,0,00000d90,00000d68,0,0,c1a2f99c42e9d2c4,c1169ee8c1c7a72c,1,1,436e0000,43600000,1,1,01aa,0130,0,0,0,0
450,450,0,00000d98,00000d70,0,0,41fa6b7c41ec74c4,403ca320c2740c34,1,1,43d50000,c2700000,1,1,014e,00dc,0,0,0,0
451,451,0,00000da0,00000d78,0,0,4281c81b41ee6a44,41c8b2e84252be44,1,1,43a70000,c3ab8000,1,1,002a,3fb7,0,0,0,0
452,452,0,00000da8,00000d80,0,0,c0943c8041823d08,c29521ad424dc0e2,1,1,42280000,c3c98000,1,1,3f13,3ea6,0,0,0,0
453,453,0,00000db0,00000d88,0,0,c0f89d60c19edac4,c2909dd2c1b3b5c0,1,1,c36d0000,c3400000,1,1,3ee1,3e72,0,0,0,0
454,454,0,00000db8,00000d90,0,0,4209d63cc2a1b842,4244a28c4207e3b2,1,1,c38f8000,42fa0000,1,1,3fba,3f45,0,0,0,0
455,455,0,00000dc0,00000d98,0,0,401465004267598c,c0640d00422bf480,1,1,c28c0000,43980000,1,1,00f8,0085,0,0,0,0
456,456,0,00000dc8,00000da0,0,0,c1e21b44c2a40e1d,41f3f72cc26003b2,1,1,43780000,435c0000,1,1,01aa,0136,0,0,0,0
457,457,0,00000dd0,00000da8,0,0,c1217298c1374e28,c16e4778c2896d39,1,1,43d50000,c2920000,1,1,014a,00d2,0,0,0,0
458,458,0,00000dd8,00000db0,0,0,c1ffed14c13097c8,42331104c05174e0,1,1,43a50000,c3ad0000,1,1,001c,3fa9,0,0,0,0
459,459,0,00000de0,00000db8,0,0,408f99b0413f6f18,c28a61e5425c468e,1,1,41e00000,c3c70000,1,1,3f11,3e9a,0,0,0,0
460,460,0,00000de8,00000dc0,0,0,c2a5630fc117b278,426a29acc0fd8130,1,1,c36f0000,c33b0000,1,1,3eeb,3e75,0,0,0,0
461,461,0,00000df0,00000dc8,0,0,c2b03514c2d8c09a,421c8acc414c1d48,1,1,c38a8000,43050000,1,1,3fc4,3f53,0,0,0,0
462,462,0,00000df8,00000dd0,0,0,c0bed730406b6c40,42319f96c01e0160,1,1,c2700000,439b0000,1,1,0104,008f,0,0,0,0
463,463,0,00000e00,00000dd8,0,0,41586240c22b94ec,c2a4cf4e426e8bb0,1,1,43820000,43520000,1,1,01aa,0137,0,0,0,0
464,464,0,00000e08,00000de0,0,0,c2736cfec1f4a9e4,41b07c84c21a4b5e,1,1,43d50000,c2ae0000,1,1,013f,00cf,0,0,0,0
465,465,0,00000e10,00000de8,0,0,41323128c2d86489,40a7844041325400,1,1,439f8000,c3b30000,1,1,0012,3fa0,0,0,0,0
466,466,0,00000e18,00000df0,0,0,429e3b5b410f31d0,c1d10f24c20990f0,1,1,41900000,c3c58000,1,1,3f08,3e97,0,0,0,0
467,467,0,00000e20,00000df8,0,0,41258f88c290f985,429314e141d94bec,1,1,c3780000,c32d0000,1,1,3eea,3e7b,0,0,0,0
468,468,0,00000e28,00000e00,0,0,410d64a0c26392a2,c15ae30041e1f4b0,1,1,c38b0000,430f0000,1,1,3fd2,3f59,0,0,0,0
469,469,0,00000e30,00000e08,0,0,419c0770c23916dc,4176c5b0c2aec4a2,1,1,c2380000,439b8000,1,1,010d,0099,0,0,0,0
470,470,0,00000e38,00000e10,0,0,41172170c1eed610,c1b500f8c0a26ba0,1,1,43868000,434f0000,1,1,01a8,0133,0,0,0,0
471,471,0,00000e40,00000e18,0,0,429b4b324283d463,c158e36841fbe4dc,1,1,43d40000,c2c00000,1,1,0138,00c4,0,0,0,0
472,472,0,00000e48,00000e20,0,0,c23b573ec08d5b50,c28ad895422adaca,1,1,439c0000,c3b48000,1,1,000a,3f92,0,0,0,0
473,473,0,00000e50,00000e28,0,0,4285399f427c4c86,424cef4ac1a84a5c,1,1,41200000,c3c28000,1,1,3f03,3e8f,0,0,0,0
474,474,0,00000e58,00000e30,0,0,401f25c0c1e6ae18,c23f97d64236daa6,1,1,c37d0000,c3270000,1,1,3ef3,3e7c,0,0,0,0
475,475,0,00000e60,00000e38,0,0,41fd5e14c2260e14,c21878ecc20bfe34,1,1,c3868000,43190000,1,1,3fd7,3f67,0,0,0,0
476,476,0,00000e68,00000e40,0,0,4254cf3a429f4ad6,bfc74ac0c2ca566b,1,1,c2240000,43998000,1,1,0115,009e,0,0,0,0
477,477,0,00000e70,00000e48,0,0,415f6020c29a014a,410da0b0429cddc4,1,1,438a8000,43440000,1,1,01ae,0137,0,0,0,0
478,478,0,00000e78,00000e50,0,0,42b7efff4211b948,42861a0742914524,1,1,43d70000,c2dc0000,1,1,012e,00bb,0,0,0,0
479,479,0,00000e80,00000e58,0,0,bd61e00041c47f2c,427b84c44242aff4,1,1,43970000,c3b88000,1,1,3ffc,3f8a,0,0,0,0
480,480,0,00000e88,00000e60,0,0,41e21ff0bf788380,42480098c29e2cc5,1,1,c0800000,c3c20000,1,1,3efc,3e8d,0,0,0,0
481,481,0,00000e90,00000e68,0,0,c112c5a842ac248a,421faaf0c21b1a6e,1,1,c3820000,c3190000,1,1,3ef1,3e83,0,0,0,0
482,482,0,00000e98,00000e70,0,0,429259ad4227ee3c,c08f0dc0bf384780,1,1,c3878000,431e0000,1,1,3fe7,3f77,0,0,0,0
483,483,0,00000ea0,00000e78,0,0,c0e728b0c143a540,41d8904c418f444c,1,1,c1c80000,439b8000,1,1,011f,00a5,0,0,0,0
484,484,0,00000ea8,00000e80,0,0,429dcec3c22e50ec,c248eaa842c4d900,1,1,438f8000,433b0000,1,1,01aa,0137,0,0,0,0
485,485,0,00000eb0,00000e88,0,0,c1e428d8403d5900,41efdefcc2a3039e,1,1,43d50000,c2ec0000,1,1,0125,00ae,0,0,0,0
486,486,0,00000eb8,00000e90,0,0,c1ef6a18c0e4ee70,429e9d65421874ae,1,1,43928000,c3b98000,1,1,3ff0,3f7b,0,0,0,0
487,487,0,00000ec0,00000e98,0,0,bde9fc00426c1194,41ba13f841a8d7e8,1,1,c1800000,c3be8000,1,1,3ef6,3e86,0,0,0,0
488,488,0,00000ec8,00000ea0,0,0,c1a44f1c40a4a640,c1e476d040de9180,1,1,c3850000,c3090000,1,1,3ef6,3e89,0,0,0,0
489,489,0,00000ed0,00000ea8,0,0,4154a3c03eacc500,c1168bd8426792f4,1,1,c3850000,43250000,1,1,3ff3,3f7d,0,0,0,0
490,490,0,00000ed8,00000eb0,0,0,c1ef806440ed7040,3ffcde80c1ae444c,1,1,c1500000,439b8000,1,1,0128,00b4,0,0,0,0
491,491,0,00000ee0,00000eb8,0,0,430ff07f42165560,c23d68ccc191a954,1,1,43940000,432e0000,1,1,01af,0135,0,0,0,0
492,492,0,00000ee8,00000ec0,0,0,41131860c29fca85,c0f48e00c1830528,1,1,43d78000,c3050000,1,1,0121,00aa,0,0,0,0
493,493,0,00000ef0,00000ec8,0,0,4297ec634218b784,4148f5a0424ae9e0,1,1,43908000,c3bd0000,1,1,3fe3,3f72,0,0,0,0
494,494,0,00000ef8,00000ed0,0,0,c277a76cc2951d18,c1020fd8c1d44858,1,1,c1e80000,c3bb8000,1,1,3ef7,3e83,0,0,0,0
495,495,0,00000f00,00000ed8,0,0,c190f38841c160cc,c2da1a38c04fc9e0,1,1,c3848000,c3030000,1,1,3efe,3e89,0,0,0,0
496,496,0,00000f08,00000ee0,0,0,c1b767d042021e94,c23218d840e7f820,1,1,c3810000,43340000,1,1,3ffd,3f89,0,0,0,0
497,497,0,00000f10,00000ee8,0,0,42758b32c17212f0,c1cbd26cc25e545c,1,1,c0400000,439a8000,1,1,012f,00b9,0,0,0,0
498,498,0,00000f18,00000ef0,0,0,410da120bf40b080,419cb03c424b406e,1,1,43978000,432a0000,1,1,01ab,0139,0,0,0,0
499,499,0,00000f20,00000ef8,0,0,c221fa96420605aa,c1dbbc84402b73c0,1,1,43d58000,c30e0000,1,1,0116,009d,0,0,0,0
500,500,0,00000f28,00000f00,0,0,429e3ee9c1c5aeac,c1839bc4c1d00cfc,1,1,438b0000,c3be8000,1,1,3fdb,3f67,0,0,0,0
501,501,0,00000f30,00000f08,0,0,c23696e2c1ffc950,42149b06c21538b2,1,1,c2140000,c3bb8000,1,1,3eee,3e7b,0,0,0,0
502,502,0,00000f38,00000f10,0,0,414f6600c28980b6,41c3eba8423148f6,1,1,c3890000,c2ee0000,1,1,3f03,3e93,0,0,0,0
503,503,0,00000f40,00000f18,0,0,c290bb6b41a7d0b8,c09d250041a6c268,1,1,c37d0000,43390000,1,1,000a,3f94,0,0,0,0
504,504,0,00000f48,00000f20,0,0,4222d85c4281a429,418adac8410e01f8,1,1,41200000,439c8000,1,1,0137,00c7,0,0,0,0
505,505,0,00000f50,00000f28,0,0,41bb1e0cc19801a8,c0056b40c286b9c6,1,1,439b8000,431d0000,1,1,01aa,0136,0,0,0,0
506,506,0,00000f58,00000f30,0,0,41f0fbbc41914d14,c256004241eb9c54,1,1,43d50000,c3190000,1,1,010c,0094,0,0,0,0
507,507,0,00000f60,00000f38,0,0,c0b3d59040c1e140,420cfcb6c277f988,1,1,43860000,c3c28000,1,1,3fd1,3f5e,0,0,0,0
508,508,0,00000f68,00000f40,0,0,429ee928c21084e2,421b48ecc23e34d0,1,1,c23c0000,c3b68000,1,1,3eea,3e79,0,0,0,0
509,509,0,00000f70,00000f48,0,0,c1206d30413d6d60,4184a6d4c29ac23f,1,1,c38b0000,c2d80000,1,1,3f08,3e95,0,0,0,0
510,510,0,00000f78,00000f50,0,0,c16973b0c2504b26,42bb8e9442378796,1,1,c3780000,43470000,1,1,0013,3fa1,0,0,0,0
511,511,0,00000f80,00000f58,0,0,c133d1e8c2cfdadf,41b8e1b04276c6d2,1,1,41980000,439b0000,1,1,0142,00c7,0,0,0,0
512,512,0,00000f88,00000f60,0,0,c2258070429b1fb3,c052c260410e7cb8,1,1,43a10000,43140000,1,1,01ae,0135,0,0,0,0
513,513,0,00000f90,00000f68,0,0,c26d7fd2c191781c,c12c01504196529c,1,1,43d70000,c3220000,1,1,0101,008e,0,0,0,0
514,514,0,00000f98,00000f70,0,0,c29cf1b5c1bc1edc,c29874844213517c,1,1,43808000,c3c38000,1,1,3fc2,3f52,0,0,0,0
515,515,0,00000fa0,00000f78,0,0,41df6820c1f85190,c20329e0c1464f60,1,1,c2780000,c3b58000,1,1,3ee5,3e77,0,0,0,0
516,516,0,00000fa8,00000f80,0,0,4290d741c2498d80,4221a330c1daca84,1,1,c38d8000,c2be0000,1,1,3f0f,3e99,0,0,0,0
517,517,0,00000fb0,00000f88,0,0,c298e2d9c10262c8,c22e6a7c40dc9e90,1,1,c3710000,43470000,1,1,001e,3fac,0,0,0,0
518,518,0,00000fb8,00000f90,0,0,c21254ca4138fa98,c18d9918c1b82d78,1,1,41f00000,439a8000,1,1,0148,00cf,0,0,0,0
519,519,0,00000fc0,00000f98,0,0,40f3d1504187f324,421c72d44203b0b4,1,1,43a40000,430e0000,1,1,01ab,0133,0,0,0,0
520,520,0,00000fc8,00000fa0,0,0,c193cac4c2bb610f,40aeeeb0c188f854,1,1,43d58000,c32e0000,1,1,00f9,0083,0,0,0,0
521,521,0,00000fd0,00000fa8,0,0,41c6775041347058,428c8a87410d9038,1,1,43790000,c3c48000,1,1,3fbb,3f4a,0,0,0,0
522,522,0,00000fd8,00000fb0,0,0,bf4f5300c26909d8,40c4f5a0c22fbb58,1,1,c28a0000,c3b38000,1,1,3ee4,3e71,0,0,0,0
523,523,0,00000fe0,00000fb8,0,0,c1a68c74c1edea98,c147a59841cee298,1,1,c38e0000,c2a80000,1,1,3f10,3ea3,0,0,0,0
524,524,0,00000fe8,00000fc0,0,0,c1eebcd842a83a10,4267c73c4202fa38,1,1,c3700000,434f0000,1,1,002b,3fb2,0,0,0,0
525,525,0,00000ff0,00000fc8,0,0,c1411c9041265430,bfd2a9c0c17ccbe8,1,1,422c0000,43998000,1,1,0150,00db,0,0,0,0
526,526,0,00000ff8,00000fd0,0,0,41d9ff78424d4d30,42af3537c092ce00,1,1,43a80000,43030000,1,1,01ac,0132,0,0,0,0
527,527,0,00001000,00000fd8,0,0,0000000042dc0000,c293652cc153fa40,1,1,43d60000,c3360000,1,1,00f0,0078,0,0,0,0
528,528,0,00001008,00000fe0,0,0,c1d9ff7c424d4ce8,c0939c9042174d3e,1,1,43700000,c3c78000,1,1,3faf,3f3d,0,0,0,0
529,529,0,00001010,00000fe8,0,0,41411c98412653f0,c251d15e4111dca0,1,1,c2a20000,c3ae8000,1,1,3ee1,3e71,0,0,0,0
530,530,0,00001018,00000ff0,0,0,41eebcfc42a839a0,4273739242041ca0,1,1,c38f8000,c29c0000,1,1,3f1a,3ea8,0,0,0,0
531,531,0,00001020,00000ff8,0,0,41a68c58c1edeaa8,c1a30db0422636a8,1,1,c3660000,435b0000,1,1,0032,3fbd,0,0,0,0
532,532,0,00001028,00001000,0,0,3f4f5400c2690ae2,00000000c1900000,1,1,42480000,43990000,1,1,0157,00e1,0,0,0,0
533,533,0,00001030,00001008,0,0,c1c6772c41347038,41a30da04226366a,1,1,43ab8000,42f00000,1,1,01a6,012f,0,0,0,0
534,534,0,00001038,00001010,0,0,4193cac4c2bb61fe,c27373a442041c9c,1,1,43d30000,c3430000,1,1,00e4,0074,0,0,0,0
535,535,0,00001040,00001018,0,0,c0f3d1904187f328,4251d17e4111d930,1,1,43640000,c3c78000,1,1,3fab,3f34,0,0,0,0
536,536,0,00001048,00001020,0,0,421254e04138f960,40939cc042174d42,1,1,c2aa0000,c3ac0000,1,1,3ede,3e6c,0,0,0,0
537,537,0,00001050,00001028,0,0,4298e2e5c10262f0,42936525c153fe78,1,1,c3910000,c2860000,1,1,3f21,3eb0,0,0,0,0
538,538,0,00001058,00001030,0,0,c290d734c2498e8e,c2af352fc092cda0,1,1,c35f0000,43610000,1,1,0040,3fc8,0,0,0,0
539,539,0,00001060,00001038,0,0,c1df681cc1f85194,3fd2aec0c17cd3a8,1,1,42800000,43978000,1,1,015b,00e7,0,0,0,0
540,540,0,00001068,00001040,0,0,429cf1bec1bc1b3c,c267c7444202fa34,1,1,43ad8000,42e80000,1,1,01a3,012b,0,0,0,0
541,541,0,00001070,00001048,0,0,426d7feac1917838,4147a57041cee248,1,1,43d18000,c34c0000,1,1,00db,0067,0,0,0,0
542,542,0,00001078,00001050,0,0,42258062429b1fd5,c0c4f530c22fbb42,1,1,435b0000,c3ca0000,1,1,3fa2,3f29,0,0,0,0
543,543,0,00001080,00001058,0,0,4133d1e8c2cfdae1,c28c8a7f410d8c50,1,1,c2bc0000,c3a80000,1,1,3edb,3e6b,0,0,0,0
544,544,0,00001088,00001060,0,0,416973e0c2504b1e,c0aeee90c188f864,1,1,c3928000,c2600000,1,1,3f29,3eb7,0,0,0,0
545,545,0,00001090,00001068,0,0,41206d30413d6d80,c21c72be4203b278,1,1,c3570000,43670000,1,1,004a,3fd5,0,0,0,0
546,546,0,00001098,00001070,0,0,c29ee91ec210873c,418d98dcc1b82d94,1,1,42940000,43958000,1,1,0167,00ef,0,0,0,0
547,547,0,000010a0,00001078,0,0,40b3d58040c1e150,422e6a7240dca010,1,1,43b38000,42ce0000,1,1,01a0,012f,0,0,0,0
548,548,0,000010a8,00001080,0,0,c1f0fbb041914cc0,c221a330c1daca90,1,1,43d00000,c3570000,1,1,00d1,005e,0,0,0,0
549,549,0,000010b0,00001088,0,0,c1bb1dfcc198018c,42032a08c1464f58,1,1,43510000,c3ca8000,1,1,3f95,3f22,0,0,0,0
550,550,0,000010b8,00001090,0,0,c222d8564281a49d,429874884213519c,1,1,c2d60000,c3a48000,1,1,3ed8,3e65,0,0,0,0
551,551,0,000010c0,00001098,0,0,4290bb7041a7d0b4,412c01a041964dc0,1,1,c3940000,c22c0000,1,1,3f2f,3ebf,0,0,0,0
552,552,0,000010c8,000010a0,0,0,c14f6638c2898095,4052c320410e7cb8,1,1,c3510000,436f0000,1,1,0054,3fdf,0,0,0,0
553,553,0,000010d0,000010a8,0,0,423696eac1ffc93c,c1b8e1a44276c6b2,1,1,42a80000,43978000,1,1,016a,00f4,0,0,0,0
554,554,0,000010d8,000010b0,0,0,c29e3ed8c1c5b0a8,c2bb8e934237877c,1,1,43b50000,42bc0000,1,1,01a0,0127,0,0,0,0
555,555,0,000010e0,000010b8,0,0,4221fa8e420605a6,c184a6d0c29ac1d2,1,1,43d00000,c35e0000,1,1,00c6,0055,0,0,0,0
556,556,0,000010e8,000010c0,0,0,c10da158bf40ce00,c21b48ecc23e34d0,1,1,43460000,c3cd8000,1,1,3f88,3f1a,0,0,0,0
557,557,0,000010f0,000010c8,0,0,c2758b2ec17212d8,c20cfcaac277f93c,1,1,c2f00000,c3a08000,1,1,3ed7,3e64,0,0,0,0
558,558,0,000010f8,000010d0,0,0,41b767d842021ea6,4256002e41eb9c50,1,1,c3948000,c2040000,1,1,3f37,3ec6,0,0,0,0
559,559,0,00001100,000010d8,0,0,4190f38c41c160dc,40056c40c286ba43,1,1,c3490000,43740000,1,1,0063,3fe8,0,0,0,0
560,560,0,00001108,000010e0,0,0,4277a79ec2951cac,c18adac0410e0208,1,1,42c60000,43938000,1,1,0171,00fa,0,0,0,0
561,561,0,00001110,000010e8,0,0,c297ec5b4218b786,409d24b041a6c160,1,1,43b88000,42aa0000,1,1,019a,0120,0,0,0,0
562,562,0,00001118,000010f0,0,0,c1131858c29fcacf,c1c3eb80423148de,1,1,43cd0000,c3660000,1,1,00ba,0049,0,0,0,0
563,563,0,00001120,000010f8,0,0,c30ff07f42165558,c2149b14c2153886,1,1,433a0000,c3ce0000,1,1,3f83,3f0d,0,0,0,0
564,564,0,00001128,00001100,0,0,41ef807040ed7070,41839bc0c1d00cf4,1,1,c2fa0000,c39d0000,1,1,3ed8,3e63,0,0,0,0
565,565,0,00001130,00001108,0,0,c154a3803eacc400,41dbbc94402b81a0,1,1,c3940000,c1c00000,1,1,3f40,3ed0,0,0,0,0
566,566,0,00001138,00001110,0,0,41a44f3440a4a4a0,c19cb010424b4070,1,1,c3400000,437a0000,1,1,006d,3ffb,0,0,0,0
567,567,0,00001140,00001118,0,0,3de9fc00426c11a6,41cbd290c25e54f6,1,1,42da0000,43900000,1,1,017a,0101,0,0,0,0
568,568,0,00001148,00001120,0,0,41ef6a20c0e4ef50,423218e040e7f840,1,1,43bd0000,42920000,1,1,0196,0120,0,0,0,0
569,569,0,00001150,00001128,0,0,41e428b8403d58c0,42da1a42c04fca20,1,1,43cb0000,c3730000,1,1,00b3,003c,0,0,0,0
570,570,0,00001158,00001130,0,0,c29dceb7c22e5170,41020fe0c1d44854,1,1,43330000,c3ce8000,1,1,3f77,3f05,0,0,0,0
571,571,0,00001160,00001138,0,0,40e728f0c143a550,c148f5e0424ae9ac,1,1,c3090000,c3980000,1,1,3ed4,3e63,0,0,0,0
572,572,0,00001168,00001140,0,0,c292599b4227f19c,40f48e40c1830518,1,1,c3960000,c0a00000,1,1,3f48,3ed4,0,0,0,0
573,573,0,00001170,00001148,0,0,4112c5b042ac2482,423d68dcc191a9a0,1,1,c3380000,43808000,1,1,0077,0003,0,0,0,0
574,574,0,00001178,00001150,0,0,c1e21ffcbf784700,bffcdf40c1ae4468,1,1,42ee0000,43900000,1,1,017f,0106,0,0,0,0
575,575,0,00001180,00001158,0,0,3d61e80041c47f28,41168c5842679274,1,1,43bf8000,42700000,1,1,0190,011d,0,0,0,0
576,576,0,00001188,00001160,0,0,c2b7effd4211b9be,41e476dc40de9110,1,1,43c80000,c37b0000,1,1,00a7,0034,0,0,0,0
577,577,0,00001190,00001168,0,0,c15f6030c29a0156,c1ba139c41a8dec4,1,1,43270000,c3ce8000,1,1,3f6b,3efb,0,0,0,0
578,578,0,00001198,00001170,0,0,c254cf12429f4964,c29e9d5b421874ae,1,1,c3150000,c3960000,1,1,3ed3,3e66,0,0,0,0
579,579,0,000011a0,00001178,0,0,c1fd5df4c2260e12,c1efdf20c2a30317,1,1,c3968000,40400000,1,1,3f4d,3edd,0,0,0,0
580,580,0,000011a8,00001180,0,0,c01f2280c1e6acd8,4248eab042c4d900,1,1,c3330000,43830000,1,1,0082,000e,0,0,0,0
581,581,0,000011b0,00001188,0,0,c2853992427c4c86,c1d89054418f44f0,1,1,43020000,438e8000,1,1,0182,0111,0,0,0,0
582,582,0,000011b8,00001190,0,0,423b574ac08d5690,408f0da0bf384e00,1,1,43c10000,42500000,1,1,018e,011a,0,0,0,0
583,583,0,000011c0,00001198,0,0,c29b4b304283d45c,c21faaeac21b1d5a,1,1,43c70000,c3828000,1,1,009b,0028,0,0,0,0
584,584,0,000011c8,000011a0,0,0,c1172100c1eed2b0,c248009cc29e2cc6,1,1,431b0000,c3cd0000,1,1,3f63,3ef1,0,0,0,0
585,585,0,000011d0,000011a8,0,0,c19c0748c23916de,c27b84b64242b0aa,1,1,c31d0000,c3918000,1,1,3ed2,3e62,0,0,0,0
586,586,0,000011d8,000011b0,0,0,c10d6488c26392fa,c2861a0b42914529,1,1,c3970000,41600000,1,1,3f57,3ee9,0,0,0,0
587,587,0,000011e0,000011b8,0,0,c1258f70c290f986,c10da0d8429cde0d,1,1,c3290000,43888000,1,1,008d,0016,0,0,0,0
588,588,0,000011e8,000011c0,0,0,c29e3b5d410f3008,3fc74c00c2ca566f,1,1,430d0000,438d0000,1,1,0186,0113,0,0,0,0
589,589,0,000011f0,000011c8,0,0,c1323120c2d86487,42187900c20bfc7a,1,1,43c30000,42200000,1,1,0187,0113,0,0,0,0
590,590,0,000011f8,000011d0,0,0,42736cecc1f4ac50,423f97c44236da92,1,1,43c38000,c3878000,1,1,0090,001a,0,0,0,0
591,591,0,00001200,000011d8,0,0,c1586238c22b94ee,c24cef2cc1a84af0,1,1,43100000,c3cf0000,1,1,3f5d,3eea,0,0,0,0
592,592,0,00001208,000011e0,0,0,40bed740406b6660,428ad89e422adabe,1,1,c3230000,c38b8000,1,1,3ed2,3e62,0,0,0,0
593,593,0,00001210,000011e8,0,0,42b03515c2d8c095,4158e37041fbe3f8,1,1,c3970000,41b00000,1,1,3f60,3eef,0,0,0,0
594,594,0,00001218,000011f0,0,0,42a56309c117ada8,41b500f8c0a26c00,1,1,c3200000,43898000,1,1,0098,0022,0,0,0,0
595,595,0,00001220,000011f8,0,0,c08f99a0413f6f10,c176c560c2aec53a,1,1,43180000,43898000,1,1,018c,0119,0,0,0,0
596,596,0,00001228,00001200,0,0,41ffed84c13093a0,415ae30841e1f4b0,1,1,43c60000,41d00000,1,1,0184,0111,0,0,0,0
597,597,0,00001230,00001208,0,0,412172d0c1374e18,c29314dd41d94b34,1,1,43c20000,c38b0000,1,1,0086,0013,0,0,0,0
598,598,0,00001238,00001210,0,0,41e21b58c2a40e01,41d10f1cc20990ec,1,1,43060000,c3cf0000,1,1,3f52,3ee0,0,0,0,0
599,599,0,00001240,00001218,0,0,c01465404267598e,c0a784c0413258c0,1,1,c32e0000,c3888000,1,1,3ed5,3e61,0,0,0,0
600,600,0,00001248,00001220,0,0,c209d638c2a1b8d8,c1b07c74c21a4b54,1,1,c3958000,42080000,1,1,3f69,3ef5,0,0,0,0
601,601,0,00001250,00001228,0,0,40f89e80c19edaac,42a4cf6d426e8cca,1,1,c3170000,438c8000,1,1,00a2,002c,0,0,0,0
602,602,0,00001258,00001230,0,0,40943cc041823c14,c2319f94c01e01a0,1,1,43220000,43888000,1,1,0192,011a,0,0,0,0
603,603,0,00001260,00001238,0,0,c281c81841ee6a50,c21c8ac8414c1e50,1,1,43c90000,41980000,1,1,017d,0106,0,0,0,0
604,604,0,00001268,00001240,0,0,c1fa6b5841ec7458,c26a29a8c0fd8150,1,1,43be8000,c3900000,1,1,007c,0008,0,0,0,0
605,605,0,00001270,00001248,0,0,41a2f96042e9d2c1,428a61df425c4560,1,1,42f80000,c3cf8000,1,1,3f4a,3ed7,0,0,0,0
606,606,0,00001278,00001250,0,0,4215f550400b06c0,c2331104c0517360,1,1,c3360000,c3858000,1,1,3ed5,3e60,0,0,0,0
607,607,0,00001280,00001258,0,0,420e5cd4415dda88,416e47f8c2896d7d,1,1,c3958000,42300000,1,1,3f6f,3efe,0,0,0,0
608,608,0,00001288,00001260,0,0,423baf10c125dd50,c1f3f724c26003ae,1,1,c3110000,438d0000,1,1,00b0,003b,0,0,0,0
609,609,0,00001290,00001268,0,0,41c25e80c25bade4,40640d60422bf454,1,1,43300000,43830000,1,1,0199,0121,0,0,0,0
610,610,0,00001298,00001270,0,0,424ec10ac258d4be,c244a2924207e390,1,1,43cc8000,41000000,1,1,0176,0103,0,0,0,0
611,611,0,000012a0,00001278,0,0,4199627442a0e7cd,42909dccc1b3b260,1,1,43bb0000,c3948000,1,1,0072,3ffe,0,0,0,0
612,612,0,000012a8,00001280,0,0,c1cd5968411d2ef8,429521ad424dc0e6,1,1,42e40000,c3d00000,1,1,3f43,3ed0,0,0,0,0
613,613,0,000012b0,00001288,0,0,c2c8faee42a9d5b2,c1c8b2c84252be40,1,1,c33d0000,c3810000,1,1,3ed6,3e68,0,0,0,0
614,614,0,000012b8,00001290,0,0,420c10143f8f74c0,c03ca2c0c2740c22,1,1,c3950000,426c0000,1,1,3f7d,3f09,0,0,0,0
615,615,0,000012c0,00001298,0,0,3ef74e0041ca7a00,41169e58c1c7a0c0,1,1,c3030000,43908000,1,1,00b5,0041,0,0,0,0
616,616,0,000012c8,000012a0,0,0,c1d774acc0ec0a00,40f68000c08b0f10,1,1,43350000,43818000,1,1,0199,0124,0,0,0,0
